RUN	viade_es5b.PruebaCrearCuenta	pruebacrearcuenta	1587658606652	Test1-50Usuarios	3.3.1
REQUEST	8		PruebaCrearCuenta_4	1587658616830	1587658616857	OK	 
REQUEST	8		PruebaCrearCuenta_5	1587658616857	1587658616862	OK	 
REQUEST	5		PruebaCrearCuenta_6	1587658616950	1587658616954	OK	 
REQUEST	5		PruebaCrearCuenta_7	1587658616955	1587658617018	OK	 
REQUEST	5		PruebaCrearCuenta_7 Redirect 1	1587658617019	1587658617059	OK	 
REQUEST	5		PruebaCrearCuenta_8	1587658617059	1587658617064	OK	 
REQUEST	2		PruebaCrearCuenta_9	1587658617079	1587658617083	OK	 
REQUEST	2		PruebaCrearCuenta_10	1587658617084	1587658617087	OK	 
REQUEST	2		PruebaCrearCuenta_11	1587658617087	1587658617091	OK	 
USER	PruebaCrearCuenta	9	START	1587658617147	1587658617147
REQUEST	9		PruebaCrearCuenta_0	1587658617148	1587658617171	OK	 
REQUEST	1		PruebaCrearCuenta_12	1587658617488	1587658617515	OK	 
REQUEST	1		PruebaCrearCuenta_12 Redirect 1	1587658617516	1587658617597	OK	 
REQUEST	1		PruebaCrearCuenta_13	1587658617598	1587658617614	OK	 
REQUEST	1		PruebaCrearCuenta_14	1587658617615	1587658617618	OK	 
REQUEST	9		PruebaCrearCuenta_1	1587658617172	1587658617859	OK	 
REQUEST	9		PruebaCrearCuenta_2	1587658617859	1587658617874	OK	 
REQUEST	9		PruebaCrearCuenta_3	1587658617875	1587658617878	OK	 
REQUEST	9		PruebaCrearCuenta_4	1587658617879	1587658617909	OK	 
REQUEST	9		PruebaCrearCuenta_5	1587658617910	1587658617956	OK	 
REQUEST	3		PruebaCrearCuenta_9	1587658618023	1587658618027	OK	 
REQUEST	3		PruebaCrearCuenta_10	1587658618028	1587658618032	OK	 
REQUEST	3		PruebaCrearCuenta_11	1587658618033	1587658618037	OK	 
REQUEST	2		PruebaCrearCuenta_12	1587658618103	1587658618113	OK	 
USER	PruebaCrearCuenta	10	START	1587658618139	1587658618139
REQUEST	2		PruebaCrearCuenta_12 Redirect 1	1587658618113	1587658618154	OK	 
REQUEST	10		PruebaCrearCuenta_0	1587658618139	1587658618158	OK	 
REQUEST	2		PruebaCrearCuenta_13	1587658618154	1587658618174	OK	 
REQUEST	2		PruebaCrearCuenta_14	1587658618175	1587658618178	OK	 
REQUEST	1		PruebaCrearCuenta_15	1587658618623	1587658618882	OK	 
REQUEST	1		PruebaCrearCuenta_15 Redirect 1	1587658618883	1587658618933	OK	 
REQUEST	6		PruebaCrearCuenta_6	1587658618922	1587658618937	OK	 
REQUEST	10		PruebaCrearCuenta_1	1587658618160	1587658619008	OK	 
REQUEST	6		PruebaCrearCuenta_7	1587658618938	1587658619016	OK	 
REQUEST	10		PruebaCrearCuenta_2	1587658619008	1587658619028	OK	 
REQUEST	10		PruebaCrearCuenta_3	1587658619029	1587658619035	OK	 
REQUEST	1		PruebaCrearCuenta_15 Redirect 2	1587658618935	1587658619058	OK	 
REQUEST	3		PruebaCrearCuenta_12	1587658619033	1587658619062	OK	 
REQUEST	10		PruebaCrearCuenta_4	1587658619036	1587658619096	OK	 
REQUEST	4		PruebaCrearCuenta_9	1587658619042	1587658619127	OK	 
REQUEST	4		PruebaCrearCuenta_10	1587658619128	1587658619134	OK	 
REQUEST	4		PruebaCrearCuenta_11	1587658619135	1587658619139	OK	 
REQUEST	6		PruebaCrearCuenta_7 Redirect 1	1587658619016	1587658619147	OK	 
REQUEST	3		PruebaCrearCuenta_12 Redirect 1	1587658619063	1587658619149	OK	 
REQUEST	6		PruebaCrearCuenta_8	1587658619148	1587658619152	OK	 
REQUEST	3		PruebaCrearCuenta_13	1587658619150	1587658619157	OK	 
REQUEST	1		PruebaCrearCuenta_15 Redirect 3	1587658619059	1587658619161	OK	 
REQUEST	3		PruebaCrearCuenta_14	1587658619158	1587658619161	OK	 
REQUEST	1		PruebaCrearCuenta_16	1587658619162	1587658619165	OK	 
REQUEST	10		PruebaCrearCuenta_5	1587658619097	1587658619167	OK	 
REQUEST	1		PruebaCrearCuenta_17	1587658619165	1587658619170	OK	 
REQUEST	1		PruebaCrearCuenta_18	1587658619171	1587658619202	OK	 
REQUEST	2		PruebaCrearCuenta_15	1587658619179	1587658619294	OK	 
REQUEST	2		PruebaCrearCuenta_15 Redirect 1	1587658619295	1587658619316	OK	 
REQUEST	2		PruebaCrearCuenta_15 Redirect 2	1587658619317	1587658619389	OK	 
REQUEST	2		PruebaCrearCuenta_15 Redirect 3	1587658619390	1587658619434	OK	 
REQUEST	2		PruebaCrearCuenta_16	1587658619434	1587658619437	OK	 
REQUEST	2		PruebaCrearCuenta_17	1587658619438	1587658619441	OK	 
REQUEST	2		PruebaCrearCuenta_18	1587658619441	1587658619470	OK	 
REQUEST	7		PruebaCrearCuenta_6	1587658619929	1587658619934	OK	 
REQUEST	7		PruebaCrearCuenta_7	1587658619935	1587658620003	OK	 
REQUEST	7		PruebaCrearCuenta_7 Redirect 1	1587658620004	1587658620043	OK	 
REQUEST	7		PruebaCrearCuenta_8	1587658620044	1587658620048	OK	 
REQUEST	5		PruebaCrearCuenta_9	1587658620070	1587658620076	OK	 
REQUEST	5		PruebaCrearCuenta_10	1587658620076	1587658620080	OK	 
REQUEST	5		PruebaCrearCuenta_11	1587658620081	1587658620084	OK	 
USER	PruebaCrearCuenta	11	START	1587658620137	1587658620137
REQUEST	11		PruebaCrearCuenta_0	1587658620138	1587658620146	OK	 
REQUEST	4		PruebaCrearCuenta_12	1587658620128	1587658620148	OK	 
REQUEST	1		PruebaCrearCuenta_19	1587658620198	1587658620210	OK	 
USER	PruebaCrearCuenta	1	END	1587658608151	1587658620220
REQUEST	4		PruebaCrearCuenta_12 Redirect 1	1587658620148	1587658620236	OK	 
REQUEST	3		PruebaCrearCuenta_15	1587658620169	1587658620376	OK	 
REQUEST	4		PruebaCrearCuenta_13	1587658620236	1587658620381	OK	 
REQUEST	4		PruebaCrearCuenta_14	1587658620381	1587658620385	OK	 
REQUEST	3		PruebaCrearCuenta_15 Redirect 1	1587658620377	1587658620400	OK	 
REQUEST	2		PruebaCrearCuenta_19	1587658620469	1587658620472	OK	 
USER	PruebaCrearCuenta	2	END	1587658609149	1587658620473
REQUEST	3		PruebaCrearCuenta_15 Redirect 2	1587658620401	1587658620483	OK	 
REQUEST	3		PruebaCrearCuenta_15 Redirect 3	1587658620484	1587658620532	OK	 
REQUEST	3		PruebaCrearCuenta_16	1587658620533	1587658620536	OK	 
REQUEST	3		PruebaCrearCuenta_17	1587658620537	1587658620539	OK	 
REQUEST	3		PruebaCrearCuenta_18	1587658620540	1587658620566	OK	 
REQUEST	8		PruebaCrearCuenta_6	1587658620878	1587658620883	OK	 
REQUEST	11		PruebaCrearCuenta_1	1587658620147	1587658620932	OK	 
REQUEST	8		PruebaCrearCuenta_7	1587658620884	1587658620951	OK	 
REQUEST	11		PruebaCrearCuenta_2	1587658620933	1587658620952	OK	 
REQUEST	11		PruebaCrearCuenta_3	1587658620952	1587658620956	OK	 
REQUEST	11		PruebaCrearCuenta_4	1587658620957	1587658621016	OK	 
REQUEST	8		PruebaCrearCuenta_7 Redirect 1	1587658620951	1587658621043	OK	 
REQUEST	8		PruebaCrearCuenta_8	1587658621044	1587658621048	OK	 
REQUEST	11		PruebaCrearCuenta_5	1587658621017	1587658621077	OK	 
REQUEST	5		PruebaCrearCuenta_12	1587658621082	1587658621093	OK	 
REQUEST	5		PruebaCrearCuenta_12 Redirect 1	1587658621093	1587658621121	OK	 
REQUEST	5		PruebaCrearCuenta_13	1587658621121	1587658621141	OK	 
REQUEST	5		PruebaCrearCuenta_14	1587658621141	1587658621146	OK	 
USER	PruebaCrearCuenta	12	START	1587658621147	1587658621147
REQUEST	12		PruebaCrearCuenta_0	1587658621148	1587658621157	OK	 
REQUEST	4		PruebaCrearCuenta_15	1587658621388	1587658621536	OK	 
REQUEST	4		PruebaCrearCuenta_15 Redirect 1	1587658621537	1587658621553	OK	 
REQUEST	3		PruebaCrearCuenta_19	1587658621559	1587658621561	OK	 
USER	PruebaCrearCuenta	3	END	1587658610153	1587658621562
REQUEST	4		PruebaCrearCuenta_15 Redirect 2	1587658621553	1587658621649	OK	 
REQUEST	4		PruebaCrearCuenta_15 Redirect 3	1587658621650	1587658621694	OK	 
REQUEST	4		PruebaCrearCuenta_16	1587658621694	1587658621696	OK	 
REQUEST	4		PruebaCrearCuenta_17	1587658621697	1587658621701	OK	 
REQUEST	4		PruebaCrearCuenta_18	1587658621702	1587658621729	OK	 
REQUEST	12		PruebaCrearCuenta_1	1587658621158	1587658621924	OK	 
REQUEST	12		PruebaCrearCuenta_2	1587658621924	1587658621939	OK	 
REQUEST	12		PruebaCrearCuenta_3	1587658621940	1587658621944	OK	 
REQUEST	12		PruebaCrearCuenta_4	1587658621944	1587658621978	OK	 
REQUEST	9		PruebaCrearCuenta_6	1587658621971	1587658621981	OK	 
REQUEST	12		PruebaCrearCuenta_5	1587658621979	1587658622024	OK	 
REQUEST	9		PruebaCrearCuenta_7	1587658621982	1587658622055	OK	 
REQUEST	9		PruebaCrearCuenta_7 Redirect 1	1587658622055	1587658622100	OK	 
REQUEST	9		PruebaCrearCuenta_8	1587658622101	1587658622105	OK	 
USER	PruebaCrearCuenta	13	START	1587658622147	1587658622147
REQUEST	13		PruebaCrearCuenta_0	1587658622148	1587658622155	OK	 
REQUEST	6		PruebaCrearCuenta_9	1587658622158	1587658622216	OK	 
REQUEST	6		PruebaCrearCuenta_10	1587658622216	1587658622238	OK	 
REQUEST	6		PruebaCrearCuenta_11	1587658622238	1587658622258	OK	 
REQUEST	5		PruebaCrearCuenta_15	1587658622127	1587658622274	OK	 
REQUEST	5		PruebaCrearCuenta_15 Redirect 1	1587658622275	1587658622301	OK	 
REQUEST	5		PruebaCrearCuenta_15 Redirect 2	1587658622302	1587658622380	OK	 
REQUEST	5		PruebaCrearCuenta_15 Redirect 3	1587658622380	1587658622426	OK	 
REQUEST	5		PruebaCrearCuenta_16	1587658622426	1587658622428	OK	 
REQUEST	5		PruebaCrearCuenta_17	1587658622429	1587658622436	OK	 
REQUEST	5		PruebaCrearCuenta_18	1587658622436	1587658622468	OK	 
REQUEST	4		PruebaCrearCuenta_19	1587658622731	1587658622736	OK	 
USER	PruebaCrearCuenta	4	END	1587658611137	1587658622736
REQUEST	13		PruebaCrearCuenta_1	1587658622156	1587658622930	OK	 
REQUEST	13		PruebaCrearCuenta_2	1587658622930	1587658622945	OK	 
REQUEST	13		PruebaCrearCuenta_3	1587658622946	1587658622951	OK	 
REQUEST	13		PruebaCrearCuenta_4	1587658622951	1587658622978	OK	 
REQUEST	13		PruebaCrearCuenta_5	1587658622978	1587658622982	OK	 
REQUEST	7		PruebaCrearCuenta_9	1587658623048	1587658623052	OK	 
REQUEST	7		PruebaCrearCuenta_10	1587658623053	1587658623056	OK	 
REQUEST	7		PruebaCrearCuenta_11	1587658623056	1587658623059	OK	 
USER	PruebaCrearCuenta	14	START	1587658623147	1587658623147
REQUEST	14		PruebaCrearCuenta_0	1587658623148	1587658623156	OK	 
REQUEST	10		PruebaCrearCuenta_6	1587658623187	1587658623192	OK	 
REQUEST	10		PruebaCrearCuenta_7	1587658623192	1587658623258	OK	 
REQUEST	6		PruebaCrearCuenta_12	1587658623270	1587658623280	OK	 
REQUEST	6		PruebaCrearCuenta_12 Redirect 1	1587658623281	1587658623346	OK	 
REQUEST	10		PruebaCrearCuenta_7 Redirect 1	1587658623260	1587658623352	OK	 
REQUEST	6		PruebaCrearCuenta_13	1587658623346	1587658623357	OK	 
REQUEST	10		PruebaCrearCuenta_8	1587658623352	1587658623358	OK	 
REQUEST	6		PruebaCrearCuenta_14	1587658623357	1587658623360	OK	 
REQUEST	5		PruebaCrearCuenta_19	1587658623478	1587658623480	OK	 
USER	PruebaCrearCuenta	5	END	1587658612151	1587658623481
REQUEST	14		PruebaCrearCuenta_1	1587658623157	1587658623859	OK	 
REQUEST	14		PruebaCrearCuenta_2	1587658623859	1587658623873	OK	 
REQUEST	14		PruebaCrearCuenta_3	1587658623874	1587658623877	OK	 
REQUEST	14		PruebaCrearCuenta_4	1587658623877	1587658623903	OK	 
REQUEST	14		PruebaCrearCuenta_5	1587658623904	1587658623908	OK	 
REQUEST	8		PruebaCrearCuenta_9	1587658624039	1587658624043	OK	 
REQUEST	8		PruebaCrearCuenta_10	1587658624044	1587658624047	OK	 
REQUEST	8		PruebaCrearCuenta_11	1587658624048	1587658624051	OK	 
REQUEST	7		PruebaCrearCuenta_12	1587658624059	1587658624067	OK	 
REQUEST	7		PruebaCrearCuenta_12 Redirect 1	1587658624068	1587658624085	OK	 
REQUEST	7		PruebaCrearCuenta_13	1587658624085	1587658624091	OK	 
REQUEST	7		PruebaCrearCuenta_14	1587658624091	1587658624094	OK	 
USER	PruebaCrearCuenta	15	START	1587658624142	1587658624142
REQUEST	15		PruebaCrearCuenta_0	1587658624143	1587658624152	OK	 
REQUEST	6		PruebaCrearCuenta_15	1587658624360	1587658624537	OK	 
REQUEST	6		PruebaCrearCuenta_15 Redirect 1	1587658624537	1587658624573	OK	 
REQUEST	6		PruebaCrearCuenta_15 Redirect 2	1587658624573	1587658624661	OK	 
REQUEST	6		PruebaCrearCuenta_15 Redirect 3	1587658624661	1587658624704	OK	 
REQUEST	6		PruebaCrearCuenta_16	1587658624704	1587658624706	OK	 
REQUEST	6		PruebaCrearCuenta_17	1587658624707	1587658624713	OK	 
REQUEST	6		PruebaCrearCuenta_18	1587658624714	1587658624741	OK	 
REQUEST	15		PruebaCrearCuenta_1	1587658624153	1587658624870	OK	 
REQUEST	15		PruebaCrearCuenta_2	1587658624871	1587658624883	OK	 
REQUEST	15		PruebaCrearCuenta_3	1587658624884	1587658624886	OK	 
REQUEST	15		PruebaCrearCuenta_4	1587658624887	1587658624917	OK	 
REQUEST	15		PruebaCrearCuenta_5	1587658624917	1587658624967	OK	 
REQUEST	8		PruebaCrearCuenta_12	1587658625058	1587658625067	OK	 
REQUEST	8		PruebaCrearCuenta_12 Redirect 1	1587658625067	1587658625085	OK	 
REQUEST	8		PruebaCrearCuenta_13	1587658625086	1587658625091	OK	 
REQUEST	11		PruebaCrearCuenta_6	1587658625089	1587658625093	OK	 
REQUEST	8		PruebaCrearCuenta_14	1587658625092	1587658625095	OK	 
REQUEST	9		PruebaCrearCuenta_9	1587658625110	1587658625116	OK	 
REQUEST	9		PruebaCrearCuenta_10	1587658625116	1587658625119	OK	 
REQUEST	9		PruebaCrearCuenta_11	1587658625119	1587658625122	OK	 
REQUEST	7		PruebaCrearCuenta_15	1587658625099	1587658625223	OK	 
REQUEST	7		PruebaCrearCuenta_15 Redirect 1	1587658625224	1587658625250	OK	 
REQUEST	11		PruebaCrearCuenta_7	1587658625094	1587658625265	OK	 
REQUEST	11		PruebaCrearCuenta_7 Redirect 1	1587658625267	1587658625319	OK	 
REQUEST	11		PruebaCrearCuenta_8	1587658625319	1587658625323	OK	 
REQUEST	7		PruebaCrearCuenta_15 Redirect 2	1587658625251	1587658625330	OK	 
REQUEST	7		PruebaCrearCuenta_15 Redirect 3	1587658625330	1587658625376	OK	 
REQUEST	7		PruebaCrearCuenta_16	1587658625376	1587658625379	OK	 
REQUEST	7		PruebaCrearCuenta_17	1587658625379	1587658625382	OK	 
REQUEST	7		PruebaCrearCuenta_18	1587658625383	1587658625410	OK	 
REQUEST	6		PruebaCrearCuenta_19	1587658625727	1587658625730	OK	 
USER	PruebaCrearCuenta	6	END	1587658614148	1587658625732
REQUEST	12		PruebaCrearCuenta_6	1587658626041	1587658626045	OK	 
REQUEST	12		PruebaCrearCuenta_7	1587658626046	1587658626108	OK	 
USER	PruebaCrearCuenta	16	START	1587658626140	1587658626140
REQUEST	16		PruebaCrearCuenta_0	1587658626141	1587658626146	OK	 
REQUEST	8		PruebaCrearCuenta_15	1587658626089	1587658626234	OK	 
REQUEST	9		PruebaCrearCuenta_12	1587658626120	1587658626237	OK	 
REQUEST	9		PruebaCrearCuenta_12 Redirect 1	1587658626237	1587658626297	OK	 
REQUEST	8		PruebaCrearCuenta_15 Redirect 1	1587658626235	1587658626321	OK	 
REQUEST	9		PruebaCrearCuenta_13	1587658626298	1587658626357	OK	 
REQUEST	10		PruebaCrearCuenta_9	1587658626360	1587658626374	OK	 
REQUEST	12		PruebaCrearCuenta_7 Redirect 1	1587658626109	1587658626377	OK	 
REQUEST	9		PruebaCrearCuenta_14	1587658626358	1587658626380	OK	 
REQUEST	12		PruebaCrearCuenta_8	1587658626378	1587658626386	OK	 
REQUEST	10		PruebaCrearCuenta_10	1587658626375	1587658626387	OK	 
REQUEST	10		PruebaCrearCuenta_11	1587658626388	1587658626393	OK	 
REQUEST	7		PruebaCrearCuenta_19	1587658626413	1587658626416	OK	 
USER	PruebaCrearCuenta	7	END	1587658615142	1587658626417
REQUEST	8		PruebaCrearCuenta_15 Redirect 2	1587658626321	1587658626429	OK	 
REQUEST	8		PruebaCrearCuenta_15 Redirect 3	1587658626429	1587658626471	OK	 
REQUEST	8		PruebaCrearCuenta_16	1587658626472	1587658626474	OK	 
REQUEST	8		PruebaCrearCuenta_17	1587658626474	1587658626476	OK	 
REQUEST	8		PruebaCrearCuenta_18	1587658626477	1587658626508	OK	 
REQUEST	16		PruebaCrearCuenta_1	1587658626147	1587658626926	OK	 
REQUEST	16		PruebaCrearCuenta_2	1587658626927	1587658626980	OK	 
REQUEST	16		PruebaCrearCuenta_3	1587658626980	1587658626983	OK	 
REQUEST	16		PruebaCrearCuenta_4	1587658626984	1587658627011	OK	 
REQUEST	13		PruebaCrearCuenta_6	1587658627000	1587658627012	OK	 
REQUEST	16		PruebaCrearCuenta_5	1587658627011	1587658627056	OK	 
REQUEST	13		PruebaCrearCuenta_7	1587658627013	1587658627075	OK	 
REQUEST	13		PruebaCrearCuenta_7 Redirect 1	1587658627075	1587658627110	OK	 
REQUEST	13		PruebaCrearCuenta_8	1587658627110	1587658627113	OK	 
USER	PruebaCrearCuenta	17	START	1587658627141	1587658627141
REQUEST	17		PruebaCrearCuenta_0	1587658627142	1587658627147	OK	 
REQUEST	8		PruebaCrearCuenta_19	1587658627508	1587658627511	OK	 
USER	PruebaCrearCuenta	8	END	1587658616128	1587658627512
REQUEST	9		PruebaCrearCuenta_15	1587658627389	1587658627522	OK	 
REQUEST	10		PruebaCrearCuenta_12	1587658627389	1587658627528	OK	 
REQUEST	10		PruebaCrearCuenta_12 Redirect 1	1587658627528	1587658627627	OK	 
REQUEST	9		PruebaCrearCuenta_15 Redirect 1	1587658627523	1587658627636	OK	 
REQUEST	10		PruebaCrearCuenta_13	1587658627628	1587658627643	OK	 
REQUEST	10		PruebaCrearCuenta_14	1587658627644	1587658627661	OK	 
REQUEST	9		PruebaCrearCuenta_15 Redirect 2	1587658627636	1587658627728	OK	 
REQUEST	9		PruebaCrearCuenta_15 Redirect 3	1587658627728	1587658627772	OK	 
REQUEST	9		PruebaCrearCuenta_16	1587658627773	1587658627780	OK	 
REQUEST	9		PruebaCrearCuenta_17	1587658627780	1587658627792	OK	 
REQUEST	9		PruebaCrearCuenta_18	1587658627793	1587658627820	OK	 
REQUEST	17		PruebaCrearCuenta_1	1587658627147	1587658627915	OK	 
REQUEST	14		PruebaCrearCuenta_6	1587658627919	1587658627922	OK	 
REQUEST	17		PruebaCrearCuenta_2	1587658627915	1587658627929	OK	 
REQUEST	17		PruebaCrearCuenta_3	1587658627929	1587658627933	OK	 
REQUEST	17		PruebaCrearCuenta_4	1587658627934	1587658627961	OK	 
REQUEST	14		PruebaCrearCuenta_7	1587658627922	1587658627984	OK	 
REQUEST	17		PruebaCrearCuenta_5	1587658627961	1587658628007	OK	 
REQUEST	14		PruebaCrearCuenta_7 Redirect 1	1587658627984	1587658628015	OK	 
REQUEST	14		PruebaCrearCuenta_8	1587658628015	1587658628018	OK	 
USER	PruebaCrearCuenta	18	START	1587658628128	1587658628128
REQUEST	18		PruebaCrearCuenta_0	1587658628128	1587658628136	OK	 
REQUEST	11		PruebaCrearCuenta_9	1587658628331	1587658628337	OK	 
REQUEST	11		PruebaCrearCuenta_10	1587658628337	1587658628340	OK	 
REQUEST	11		PruebaCrearCuenta_11	1587658628340	1587658628343	OK	 
REQUEST	10		PruebaCrearCuenta_15	1587658628650	1587658628780	OK	 
REQUEST	10		PruebaCrearCuenta_15 Redirect 1	1587658628780	1587658628805	OK	 
REQUEST	9		PruebaCrearCuenta_19	1587658628810	1587658628828	OK	 
USER	PruebaCrearCuenta	9	END	1587658617147	1587658628829
REQUEST	18		PruebaCrearCuenta_1	1587658628136	1587658628860	OK	 
REQUEST	10		PruebaCrearCuenta_15 Redirect 2	1587658628806	1587658628870	OK	 
REQUEST	18		PruebaCrearCuenta_2	1587658628860	1587658628914	OK	 
REQUEST	10		PruebaCrearCuenta_15 Redirect 3	1587658628871	1587658628929	OK	 
REQUEST	18		PruebaCrearCuenta_3	1587658628914	1587658628944	OK	 
REQUEST	18		PruebaCrearCuenta_4	1587658628945	1587658629027	OK	 
REQUEST	10		PruebaCrearCuenta_16	1587658628929	1587658629028	OK	 
REQUEST	10		PruebaCrearCuenta_17	1587658629028	1587658629045	OK	 
REQUEST	15		PruebaCrearCuenta_6	1587658628982	1587658629046	OK	 
REQUEST	10		PruebaCrearCuenta_18	1587658629045	1587658629077	OK	 
REQUEST	18		PruebaCrearCuenta_5	1587658629027	1587658629088	OK	 
REQUEST	15		PruebaCrearCuenta_7	1587658629046	1587658629112	OK	 
USER	PruebaCrearCuenta	19	START	1587658629147	1587658629147
REQUEST	15		PruebaCrearCuenta_7 Redirect 1	1587658629112	1587658629181	OK	 
REQUEST	11		PruebaCrearCuenta_12	1587658629343	1587658629354	OK	 
REQUEST	11		PruebaCrearCuenta_12 Redirect 1	1587658629354	1587658629385	OK	 
REQUEST	11		PruebaCrearCuenta_13	1587658629386	1587658629403	OK	 
REQUEST	15		PruebaCrearCuenta_8	1587658629181	1587658629405	OK	 
